account_id,customer_id,branch_id,account_type,balance
211,309,5,Current,2683712.41
212,300,6,Current,834809.18
213,1,5,Savings,127792.67
214,421,8,Current,3608735.39
215,35,6,Current,-187948.18
216,184,3,Loan,1261085.49
217,186,6,Savings,23402.89
218,248,8,Current,-15065.2
219,121,14,Current,2919828.25
220,175,10,Loan,2454236.05
221,384,13,Savings,1073088.39
222,388,3,Loan,1098934.26
223,259,4,Savings,3254371.33
224,489,12,Savings,672586.13
225,258,14,Savings,481391.2
226,33,11,Savings,924676.39
227,250,15,Current,2553203.35
228,133,7,Savings,4053980.52
229,68,13,Current,1107974.61
230,414,9,Current,105818.12
231,481,9,Savings,1958774.16
232,240,14,Loan,2293641.46
233,89,1,Loan,3190509.99
234,141,11,Current,1205620.1
235,123,4,Savings,1694474.1
236,320,4,Loan,3365180.98
237,422,7,Loan,2352733.43
238,139,6,Loan,1975283.58
239,124,8,Savings,1480330.39
240,235,5,Loan,2706609.05
241,121,5,Loan,1325918.19
242,219,8,Current,911253.68
243,477,3,Current,4130272.25
244,493,1,Loan,4478414.95
245,234,10,Current,1758016.22
246,470,2,Current,3836005.98
247,356,1,Savings,1649634.93
248,111,8,Savings,916250.94
249,459,4,Current,2564975.33
250,452,11,Current,2634815.04
251,429,14,Loan,3247379.56
252,142,7,Savings,3150632.98
253,327,3,Loan,3875972.64
254,159,5,Loan,569598.82
255,100,15,Current,2968683.05
256,275,14,Current,3165723.45
257,54,2,Savings,-122125.74
258,185,4,Loan,532799.12
259,336,7,Current,1060424.8
260,466,13,Loan,3373793.84
261,208,4,Savings,1490377.22
262,207,7,Loan,1801899.46
263,13,9,Current,2486778.76
264,182,5,Savings,2980757.33
265,173,12,Savings,4484604.76
266,146,5,Loan,2142556.95
267,478,1,Loan,2315288.01
268,169,7,Current,2119322.38
269,75,4,Savings,121929.4
270,112,3,Savings,4068681.19
271,104,7,Current,3978864.53
272,270,14,Savings,749637.53
273,334,11,Current,3001413.92
274,344,4,Loan,4491474.24
275,479,15,Loan,3568240.4
276,426,1,Current,91997.57
277,361,2,Current,169079.94
278,24,11,Loan,1776573.84
279,318,14,Current,1336182.75
280,499,3,Savings,1863906.88
281,265,4,Savings,2578020.96
282,67,2,Loan,4808333.36
283,473,12,Savings,3131894.41
284,313,14,Loan,3004455.32
285,3,9,Loan,1951180.79
286,499,11,Current,1035328.4
287,71,5,Current,1889100.55
288,422,7,Savings,1431043.0
289,173,15,Current,1770667.39
290,288,8,Current,2145038.61
291,149,10,Current,2241485.38
292,287,11,Current,3273370.49
293,217,7,Savings,2882476.07
294,394,9,Savings,4500309.38
295,379,4,Savings,3100321.89
296,184,9,Current,3045382.73
297,25,4,Savings,111762.86
298,304,13,Current,4284769.88
299,233,14,Savings,563282.6
300,382,4,Savings,147052.98
301,132,11,Loan,4312907.17
302,216,12,Current,2698502.9
303,427,8,Savings,4849500.96
304,47,15,Savings,2999551.16
305,477,1,Current,3209520.81
306,416,5,Savings,4304639.15
307,261,13,Savings,2310826.99
308,457,8,Loan,4268664.73
309,85,10,Loan,590486.32
310,262,1,Savings,256565.21
311,458,13,Savings,1758492.45
312,115,7,Current,574772.97
313,322,5,Current,77638.91
314,183,15,Current,4784195.36
315,181,1,Savings,2986244.47
316,157,1,Savings,4004622.97
317,207,14,Loan,1915373.26
318,191,15,Current,1186761.4
319,234,9,Savings,4859782.32
320,272,13,Savings,-8732.2
321,476,6,Loan,3405271.71
322,477,15,Loan,4732374.4
323,223,4,Current,1441451.6
324,89,4,Current,1990752.93
325,378,3,Savings,408207.72
326,288,15,Loan,411593.18
327,7,15,Current,3499604.67
328,84,9,Savings,4035331.85
329,322,1,Savings,4865453.85
330,183,7,Savings,1646242.57
331,425,6,Savings,551554.75
332,220,6,Loan,4777980.06
333,164,7,Loan,4083653.03
334,214,1,Loan,3377907.15
335,463,4,Current,4208083.19
336,218,1,Current,2548419.16
337,364,7,Current,1248505.92
338,135,10,Loan,3538590.62
339,3,15,Savings,585322.22
340,132,10,Loan,904939.14
341,70,6,Loan,2745812.33
342,88,9,Savings,4992075.32
343,230,3,Savings,2500090.96
344,376,14,Savings,948835.71
345,288,6,Loan,2758166.47
346,135,7,Current,2840511.65
347,17,1,Current,3799661.4
348,28,15,Loan,2300603.98
349,340,10,Savings,426078.81
350,174,4,Savings,1955189.54
351,46,8,Loan,4744149.57
352,235,4,Savings,3302432.98
353,467,13,Current,4500879.29
354,170,13,Loan,91140.41
355,65,15,Savings,4008053.86
356,232,5,Current,4660970.59
357,73,2,Savings,3787191.91
358,35,3,Loan,2256395.51
359,162,11,Loan,1376572.85
360,466,4,Savings,3467665.29
361,228,11,Current,4033586.79
362,341,15,Savings,2655840.76
363,132,2,Loan,4004257.11
364,429,7,Loan,3675354.79
365,93,14,Current,1074571.49
366,164,8,Loan,1130475.48
367,47,15,Loan,3906614.81
368,185,6,Current,3741938.53
369,121,12,Loan,4334414.09
370,188,7,Current,3914153.32
371,440,15,Loan,2491139.68
372,488,1,Loan,520004.57
373,357,8,Savings,4424332.5
374,99,13,Current,1894818.02
375,173,15,Savings,796141.59
376,303,10,Current,1368658.94
377,217,11,Savings,4667959.12
378,278,7,Savings,-188993.28
379,287,10,Loan,2213914.5
380,388,11,Loan,325781.85
381,196,15,Current,251789.57
382,231,7,Savings,2035158.6
383,82,4,Current,4519656.34
384,264,9,Current,611053.87
385,214,3,Current,2071403.73
386,145,2,Loan,590173.26
387,417,15,Current,-124665.85
388,414,14,Current,4677558.64
389,41,8,Current,3107901.43
390,346,11,Savings,2127089.44
391,188,13,Current,1965750.17
392,400,6,Savings,1394228.72
393,259,10,Loan,3536367.17
394,102,7,Current,2100217.44
395,363,13,Loan,3967364.27
396,455,11,Savings,2298073.47
397,296,7,Loan,293139.17
398,190,1,Savings,4477834.31
399,383,9,Current,330745.51
400,157,8,Savings,-60011.66
401,63,13,Loan,97611.56
402,265,13,Current,2458104.13
403,188,13,Loan,2891121.28
404,484,7,Current,2787606.34
405,473,10,Current,-12412.49
406,10,13,Savings,4071106.2
407,430,8,Current,2687387.69
408,287,11,Savings,876412.34
409,69,1,Savings,842788.87
410,326,6,Current,544655.4
411,29,2,Current,1550528.7
412,428,11,Savings,4925765.29
413,448,4,Current,4589165.17
414,417,13,Savings,1918000.86
415,195,4,Savings,3057539.3
416,72,4,Loan,3559628.2
417,401,8,Loan,4624461.47
418,269,9,Current,2907237.52
419,256,4,Savings,514635.95
420,45,5,Current,198781.97
421,299,9,Savings,3829700.21
422,71,11,Loan,3171732.88
423,242,1,Loan,4628346.55
424,423,12,Current,1139224.44
425,162,15,Loan,2741426.62
426,327,2,Current,564306.48
427,404,11,Savings,2319551.17
428,105,10,Savings,2603134.36
429,375,11,Savings,2530379.12
430,60,8,Savings,2068849.57
431,440,11,Savings,3451566.95
432,96,10,Savings,1979364.84
433,117,6,Savings,3856106.84
434,254,8,Loan,3798645.03
435,11,4,Loan,335378.84
436,86,14,Savings,243310.54
437,86,15,Loan,1570561.38
438,357,15,Loan,4482710.88
439,262,5,Savings,3915780.15
440,205,8,Loan,4284977.92
441,419,5,Current,3402940.44
442,60,4,Savings,2775553.74
443,483,7,Current,4883320.29
444,199,7,Savings,2257121.74
445,339,14,Loan,3932462.81
446,37,10,Current,2676654.28
447,198,15,Current,2860389.32
448,388,15,Loan,3558739.91
449,193,11,Loan,987502.39
450,318,3,Savings,1799312.35
451,243,5,Current,1362695.99
452,181,7,Savings,3179419.02
453,401,6,Loan,4450461.64
454,135,15,Current,3086613.46
455,134,10,Savings,3182910.07
456,472,8,Current,666370.4
457,181,8,Loan,4774381.92
458,402,5,Loan,892467.6
459,410,9,Loan,2587522.8
460,290,1,Current,1488964.95
461,494,14,Loan,792802.28
462,477,6,Savings,1011442.04
463,437,9,Savings,795102.79
464,249,15,Current,2293879.76
465,332,5,Current,2702008.37
466,376,15,Loan,2397531.76
467,450,4,Loan,4528455.6
468,68,4,Savings,3918473.74
469,409,15,Current,1221225.11
470,297,15,Current,797866.49
471,82,2,Loan,4476850.96
472,372,3,Loan,1309959.47
473,325,8,Savings,2173749.33
474,285,10,Loan,4044716.47
475,53,13,Current,2550692.97
476,434,15,Savings,907604.67
477,62,14,Current,4510840.82
478,250,6,Loan,3883968.76
479,43,6,Loan,4977016.12
480,431,1,Loan,2499161.26
481,185,5,Current,329977.84
482,57,2,Loan,4375492.15
483,476,9,Current,353301.25
484,310,2,Loan,2688892.53
485,108,6,Current,4537711.69
486,262,11,Loan,897930.72
487,73,7,Current,3981219.0
488,48,6,Savings,161224.5
489,90,13,Loan,3141922.4
490,297,9,Current,3479645.55
491,250,1,Savings,681422.71
492,230,5,Savings,-18338.62
493,387,2,Loan,2367205.76
494,37,2,Savings,3266609.4
495,474,1,Savings,1430621.71
496,51,5,Current,2502564.11
497,393,6,Current,4379575.91
498,381,6,Savings,533340.43
499,395,3,Savings,1174720.48
500,425,3,Savings,3932829.07
501,334,5,Loan,1991990.86
502,375,6,Loan,-41031.32
503,143,11,Savings,552250.53
504,267,15,Loan,1569283.02
505,188,8,Savings,2958635.39
506,58,15,Savings,3165255.46
507,45,7,Current,820836.78
508,324,3,Loan,4233678.99
509,324,11,Savings,1624934.04
510,466,15,Current,3133652.97
511,494,15,Savings,3495841.74
512,253,14,Loan,121751.91
513,135,13,Loan,3715707.44
514,492,10,Loan,3381638.51
515,318,4,Loan,17811.1
516,342,8,Current,145938.62
517,151,4,Loan,2720211.93
518,376,7,Current,245908.9
519,119,4,Loan,2470794.72
520,282,3,Savings,261728.22
521,250,4,Loan,23895.61
522,422,5,Loan,2690896.1
523,7,1,Loan,3693976.78
524,306,8,Savings,2674128.69
525,489,3,Loan,-84551.85
526,320,10,Loan,442284.45
527,398,3,Loan,4945185.17
528,121,4,Savings,1783179.82
529,375,11,Current,2869375.34
530,239,6,Savings,4412480.54
531,36,2,Current,4761678.36
532,193,15,Current,692782.09
533,472,15,Loan,4172093.28
534,338,9,Current,3149350.59
535,422,9,Savings,3189318.18
536,457,2,Loan,4605902.0
537,245,15,Loan,1308222.92
538,111,3,Current,4474336.72
539,296,7,Loan,4022684.0
540,347,7,Loan,593296.18
541,378,11,Savings,1943133.98
542,56,5,Current,1236679.47
543,403,8,Loan,4486317.14
544,433,10,Savings,2966999.08
545,237,15,Savings,3401710.61
546,312,10,Loan,3466859.31
547,198,4,Loan,2691348.3
548,477,13,Current,4186517.39
549,207,14,Loan,4530013.57
550,434,10,Savings,3996473.64
551,388,7,Loan,543518.75
552,192,5,Loan,77474.58
553,73,6,Loan,3120780.24
554,498,11,Savings,942371.01
555,407,12,Current,4319315.27
556,477,12,Savings,2882371.31
557,414,5,Current,1119783.87
558,360,5,Loan,4617149.96
559,441,12,Loan,191922.8
560,267,6,Savings,837746.24
561,79,1,Savings,3450927.41
562,179,4,Savings,4156651.51
563,88,11,Loan,442329.6
564,261,6,Current,127054.41
565,69,7,Savings,197045.18
566,43,12,Current,1983061.2
567,214,9,Loan,4835420.62
568,351,6,Loan,152944.07
569,280,3,Loan,2525044.38
570,325,12,Current,2951554.17
571,463,11,Current,43897.13
572,128,1,Loan,2648581.68
573,7,6,Loan,2584987.85
574,396,2,Savings,839531.14
575,395,13,Current,4235396.32
576,214,3,Current,1754041.09
577,308,1,Loan,3571503.44
578,454,15,Savings,2795349.02
579,256,2,Savings,4186608.59
580,234,15,Loan,2438627.58
581,497,8,Current,27940.96
582,8,4,Savings,-181542.87
583,159,6,Current,2249933.16
584,399,15,Savings,4501671.83
585,454,5,Current,3068091.48
586,328,14,Current,3086078.9
587,291,2,Loan,2990528.91
588,477,10,Loan,3978025.12
589,93,12,Loan,1145117.37
590,437,14,Savings,1781071.16
591,357,13,Savings,2447104.85
592,184,8,Current,590897.27
593,348,14,Savings,1309845.7
594,406,12,Loan,35148.44
595,479,9,Current,2362432.72
596,163,4,Savings,3316284.35
597,363,11,Savings,4344306.83
598,59,3,Savings,2064255.32
599,429,15,Current,2274581.59
600,59,11,Loan,4381708.62
601,267,6,Loan,3159426.91
602,273,14,Savings,1239445.28
603,386,6,Current,2260997.5
604,286,6,Current,2586722.54
605,361,5,Current,4450587.35
606,477,7,Current,1735745.72
607,305,10,Current,-169507.72
608,259,13,Savings,4111802.34
609,301,3,Savings,3640348.32
610,7,4,Savings,382962.36
611,357,9,Savings,1418129.26
612,360,5,Current,2158624.47
613,219,2,Current,459294.92
614,445,2,Savings,543143.62
615,170,2,Loan,4100584.81
616,440,9,Savings,828435.06
617,294,11,Loan,1225110.26
618,426,13,Savings,4491517.3
619,333,2,Current,3873072.13
620,194,5,Loan,4953188.14
621,166,14,Loan,2849579.76
622,347,9,Current,-35011.95
623,100,4,Savings,4660496.99
624,204,4,Savings,1621572.57
625,297,11,Current,2363678.26
626,29,15,Current,1324359.31
627,330,1,Loan,1856743.46
628,214,11,Current,3467522.94
629,382,10,Loan,1928857.47
630,39,12,Savings,2953395.44
631,261,13,Loan,4244483.54
632,1,6,Loan,3538704.97
633,122,3,Savings,871447.94
634,256,14,Loan,4064475.21
635,245,11,Loan,24352.57
636,462,15,Savings,2071046.86
637,145,5,Savings,1144338.46
638,204,10,Current,3070723.35
639,277,3,Loan,1830666.32
640,189,5,Current,1468736.97
641,174,9,Current,2578168.61
642,126,11,Loan,3811854.2
643,117,6,Loan,3874718.95
644,65,14,Current,202512.06
645,273,4,Current,2349120.95
646,282,4,Savings,2918349.9
647,234,1,Loan,3484487.88
648,317,13,Savings,4825448.63
649,194,7,Loan,2911579.15
650,88,12,Current,1357436.28
651,358,4,Current,4291754.42
652,441,15,Loan,1142715.03
653,416,7,Current,2065747.67
654,123,11,Current,3816196.03
655,156,5,Current,189832.23
656,90,9,Current,4267736.67
657,223,15,Current,3171368.37
658,246,9,Current,4609341.36
659,67,10,Savings,4049139.64
660,487,3,Loan,1224695.49
661,481,13,Savings,2487881.25
662,74,8,Current,20893.77
663,186,15,Loan,452302.21
664,38,12,Savings,1224319.83
665,479,12,Current,3645268.11
666,224,1,Loan,4321888.81
667,132,6,Savings,3087568.44
668,327,8,Loan,2328142.16
669,414,14,Current,4040929.12
670,241,1,Savings,3168948.33
671,13,11,Current,1578845.06
672,96,7,Savings,-17219.32
673,445,15,Current,4963302.9
674,62,10,Loan,1525637.76
675,315,13,Current,4061029.49
676,196,7,Current,-52921.82
677,163,2,Loan,3450291.01
678,498,15,Current,3848949.16
679,154,15,Savings,220475.57
680,341,2,Loan,2539365.71
681,150,2,Current,2006631.71
682,74,10,Current,1697980.34
683,353,10,Current,403616.21
684,441,9,Loan,1947996.85
685,72,10,Loan,316855.73
686,119,10,Savings,2040130.11
687,460,7,Loan,2855176.38
688,90,1,Current,4525132.01
689,227,2,Loan,2702597.44
690,299,15,Loan,3760839.48
691,22,11,Current,3958277.51
692,497,3,Savings,4220850.64
693,202,6,Current,3231044.98
694,183,13,Savings,1118878.85
695,248,7,Current,524125.12
696,394,15,Savings,3340288.93
697,433,4,Loan,4444769.7
698,420,4,Current,-107786.0
699,350,1,Loan,461360.4
700,463,9,Loan,1466053.59
