loan_id,customer_id,branch_id,loan_amount,interest_rate,loan_status
50,284,5,3086313.28,11.26,Approved
51,366,14,2015135.39,9.3,Pending
52,268,14,2036307.17,12.22,Defaulted
53,204,3,4967006.18,5.41,Pending
54,161,3,2043990.95,14.5,Approved
55,66,9,351630.77,10.91,Defaulted
56,275,11,660229.64,7.13,Defaulted
57,475,14,4436902.46,12.82,Defaulted
58,38,9,3436517.08,13.87,Approved
59,496,14,1357024.41,10.86,Pending
60,324,5,3872786.5,5.1,Defaulted
61,366,14,3048548.6,7.05,Pending
62,290,4,3909052.79,14.1,Defaulted
63,481,9,2519877.65,14.46,Pending
64,372,12,2682929.62,9.72,Pending
65,475,14,1896047.97,12.93,Approved
66,115,6,359297.2,11.09,Defaulted
67,491,13,3075333.71,10.2,Approved
68,372,10,3000938.54,6.5,Approved
69,110,5,1564995.17,12.64,Approved
70,359,11,2334796.85,12.86,Defaulted
71,314,13,4396221.17,14.61,Defaulted
72,166,3,1265651.95,11.36,Approved
73,304,2,1158371.39,8.53,Defaulted
74,91,13,1234198.28,8.59,Approved
75,213,10,64653.24,10.07,Approved
76,295,12,1664849.88,12.49,Pending
77,230,5,4150725.54,6.22,Approved
78,151,6,4906901.77,5.58,Defaulted
79,112,11,93906.25,10.55,Pending
80,83,14,3783795.97,8.28,Pending
81,419,1,612664.1,12.08,Defaulted
82,245,8,3521252.53,6.56,Approved
83,28,3,618490.22,8.51,Pending
84,447,8,3626784.65,13.64,Pending
85,43,7,4121190.28,9.55,Approved
86,189,10,4219446.52,12.81,Approved
87,332,3,4688394.94,5.93,Defaulted
88,41,11,1986871.07,6.33,Pending
89,459,11,4419648.37,12.95,Approved
90,12,8,2979661.11,13.68,Approved
91,239,13,392748.51,13.65,Pending
92,467,13,3741370.2,7.84,Approved
93,248,12,2621487.52,11.9,Defaulted
94,84,12,3455063.94,8.07,Pending
95,156,11,2237641.57,10.08,Defaulted
96,396,12,4203718.26,11.81,Pending
97,310,12,212617.38,13.69,Defaulted
98,285,6,3083844.12,7.12,Approved
99,399,13,1602241.91,7.65,Approved
100,100,11,1371362.2,12.45,Pending
101,67,8,2177260.42,6.26,Pending
102,341,3,2276162.75,12.84,Pending
103,163,4,2851359.22,7.42,Approved
104,443,1,1835598.75,14.27,Defaulted
105,367,13,392464.98,8.05,Approved
106,209,4,2483018.38,11.17,Pending
107,407,5,3615270.04,8.89,Pending
108,50,15,2062567.78,14.13,Defaulted
109,83,12,1158060.56,12.91,Approved
110,97,2,2532964.6,5.54,Approved
111,469,2,4316271.9,7.12,Defaulted
112,357,9,4719583.25,9.45,Pending
113,182,13,3431402.73,12.01,Pending
114,384,12,1239878.05,9.45,Approved
115,409,4,3007563.08,9.14,Defaulted
116,471,8,2230605.26,12.6,Defaulted
117,82,11,3290790.34,6.84,Approved
118,52,1,2651662.86,14.99,Approved
119,296,5,672227.01,10.84,Defaulted
120,57,15,3543793.56,13.77,Defaulted
121,173,12,3944922.86,7.25,Pending
122,362,6,2271082.4,9.83,Pending
123,437,9,1879563.47,10.37,Approved
124,232,9,464770.67,6.37,Pending
125,221,3,72876.78,14.24,Pending
126,171,6,3162791.15,12.85,Defaulted
127,4,15,1866931.43,8.71,Approved
128,431,8,342731.74,13.07,Approved
129,270,5,3425777.26,8.77,Pending
130,298,6,558009.61,7.67,Approved
131,21,12,2992220.35,7.54,Approved
132,157,9,1838719.59,9.4,Approved
133,458,1,1149566.34,7.8,Pending
134,57,10,2508954.2,11.35,Pending
135,86,10,1056692.65,8.34,Defaulted
136,370,8,1181699.67,8.78,Pending
137,355,6,3892332.26,9.77,Approved
138,41,2,2006846.88,9.42,Pending
139,57,15,3324841.57,5.76,Pending
140,154,9,3415404.99,8.96,Approved
141,15,12,2310282.24,14.88,Approved
142,497,3,4000762.5,11.81,Approved
143,358,10,3075999.69,9.8,Defaulted
144,200,11,95734.37,8.92,Approved
145,329,11,3584105.1,14.94,Approved
146,131,2,1496886.31,8.24,Pending
147,23,11,216538.05,6.77,Defaulted
148,272,14,1112806.75,5.54,Defaulted
149,465,14,1614622.47,6.55,Pending
150,160,9,1914327.28,11.63,Pending
151,316,9,2512237.32,10.55,Defaulted
152,280,14,272904.15,12.58,Defaulted
153,95,8,2761388.53,10.91,Pending
154,81,10,2361311.17,5.51,Approved
155,142,2,1303477.84,9.03,Defaulted
156,286,9,4518850.38,12.35,Defaulted
157,165,10,2911915.6,12.75,Pending
158,76,4,1229212.43,5.79,Pending
159,139,10,2383370.41,11.17,Approved
160,283,8,2226651.73,6.17,Pending
161,480,9,491943.81,14.52,Defaulted
162,77,2,1744877.29,14.53,Pending
163,480,6,3129243.79,8.14,Defaulted
164,128,8,4926984.01,7.6,Pending
165,232,5,3414674.92,9.47,Approved
166,299,6,3853695.25,7.19,Pending
167,425,3,1139333.67,8.71,Approved
168,304,1,3319871.12,10.41,Pending
169,279,2,989216.16,6.24,Approved
170,250,1,2362595.82,14.45,Approved
171,249,13,2550024.66,5.34,Defaulted
172,218,1,2332434.57,9.02,Defaulted
173,77,3,2869589.84,11.61,Defaulted
174,382,13,4941753.48,10.58,Defaulted
175,118,15,653033.51,12.21,Pending
176,320,3,484780.6,13.53,Defaulted
177,450,12,858126.44,8.65,Pending
178,334,15,336380.74,13.63,Defaulted
179,167,4,3597763.33,6.96,Approved
180,237,11,1407569.56,6.5,Approved
181,458,7,1179087.23,7.96,Defaulted
182,183,14,3005996.31,12.74,Approved
183,94,15,1207666.12,8.43,Defaulted
184,285,10,4597643.44,14.74,Pending
185,457,10,1619085.49,10.31,Defaulted
186,254,15,3958239.03,12.17,Pending
187,294,6,4852334.45,12.55,Pending
188,478,9,1401163.1,14.13,Approved
189,231,2,1058072.96,11.86,Pending
190,396,10,212160.79,14.66,Pending
191,170,7,3894929.73,7.67,Approved
192,156,2,4522917.26,6.58,Approved
193,103,1,2812657.47,5.02,Approved
194,234,11,4172833.48,11.46,Approved
195,202,14,3694964.55,5.89,Defaulted
196,481,7,686508.1,14.94,Pending
197,209,2,2629123.74,5.81,Defaulted
198,91,1,1337448.2,9.51,Pending
199,343,14,4862672.56,5.96,Pending
200,476,10,2416206.38,7.88,Approved
201,19,11,2261946.02,7.34,Approved
202,243,8,2322034.53,7.99,Approved
203,100,3,3522793.61,5.2,Approved
204,410,4,164591.14,10.08,Approved
205,307,13,4069417.11,13.99,Defaulted
206,237,3,3192005.79,6.3,Approved
207,361,13,1658539.87,5.1,Pending
208,469,14,4044022.5,11.25,Pending
209,144,3,2977611.17,14.8,Pending
210,134,6,3643718.89,9.55,Pending
211,409,11,770248.32,14.64,Defaulted
212,423,4,4210973.68,11.24,Pending
213,237,15,4954288.51,5.8,Pending
214,198,15,3312041.54,6.58,Defaulted
215,42,14,4776537.33,7.1,Defaulted
216,340,8,1821690.91,5.11,Approved
217,315,15,168478.18,14.94,Defaulted
218,144,11,1871686.56,13.56,Pending
219,358,8,3380743.63,14.3,Approved
220,466,13,2126907.31,9.98,Defaulted
221,284,15,2412482.95,12.27,Approved
222,1,11,1308972.59,11.05,Approved
223,200,14,832261.25,13.82,Pending
224,22,10,521889.04,6.84,Defaulted
225,95,10,3108361.33,7.08,Approved
226,178,13,1149246.08,14.22,Pending
227,291,14,459844.44,13.42,Pending
228,294,9,3373846.86,11.86,Approved
229,10,7,4702980.52,14.95,Approved
230,277,4,4223360.57,12.66,Approved
231,439,7,1722273.71,9.74,Pending
232,138,8,1773767.16,11.36,Defaulted
233,405,3,4261811.39,8.61,Approved
234,24,13,607188.47,7.11,Pending
235,249,7,437286.24,11.84,Defaulted
236,87,13,4432944.09,5.22,Defaulted
237,194,9,2654380.75,12.83,Defaulted
238,443,10,1218193.36,6.65,Defaulted
239,365,2,3064414.5,13.06,Defaulted
240,363,8,4312028.37,11.32,Approved
241,200,9,3485349.33,10.82,Pending
242,86,13,1851591.95,11.55,Pending
243,179,5,3376134.51,9.69,Pending
244,228,9,589831.01,8.19,Defaulted
245,204,11,107091.39,6.46,Approved
246,421,1,1611845.62,8.96,Pending
247,284,14,1687769.92,12.71,Defaulted
248,453,14,3410769.65,7.91,Approved
249,323,6,3490135.87,14.88,Pending
250,353,14,611652.84,13.24,Defaulted
251,154,3,2745617.8,12.72,Approved
252,418,5,3898844.68,14.8,Defaulted
253,425,12,1817935.49,12.69,Approved
254,221,1,4599010.46,10.36,Defaulted
255,364,6,2648883.43,8.59,Approved
256,139,2,3408483.6,12.8,Pending
257,240,5,2893336.6,5.16,Pending
258,443,14,287054.08,7.77,Approved
259,450,10,3217607.73,6.41,Pending
260,131,11,1142004.94,6.52,Defaulted
261,251,2,3953461.84,13.5,Approved
262,135,2,4854003.64,14.28,Approved
263,53,11,2942483.19,5.67,Approved
264,89,4,3802819.91,7.63,Pending
265,494,13,3320494.98,11.73,Pending
266,450,6,1306158.17,12.33,Defaulted
267,274,15,706616,6.05,Pending
268,285,11,537513.76,13.68,Approved
269,213,15,794023.11,10.41,Approved
270,137,13,270607.4,11.68,Approved
271,135,2,4378127.31,11.2,Approved
272,412,7,744241.33,12.64,Defaulted
273,30,15,2863948.01,7.36,Approved
274,210,5,1968892.59,13.52,Pending
275,88,1,699970.53,8.45,Defaulted
276,489,15,1648315.19,13.63,Approved
277,30,2,3118277.78,8.76,Approved
278,216,9,2079463.51,9.94,Approved
279,59,11,2127276.85,12.12,Approved
280,497,3,2464323.5,6.1,Defaulted
281,308,9,3985870.71,10.58,Defaulted
282,200,9,211696.75,12.48,Defaulted
283,180,2,3574314.83,13.68,Defaulted
284,313,8,3294311.42,9.95,Approved
285,53,1,1922594.46,9.31,Approved
286,113,7,3537669.89,12.29,Approved
287,281,3,1284895.47,10.23,Approved
288,370,10,292000.71,8.84,Approved
289,470,9,4357758.68,8.78,Pending
290,77,11,2873934.12,12.95,Pending
291,448,14,3214612.31,11.77,Approved
292,265,13,125551.22,12.59,Pending
293,132,5,396995.79,14.94,Pending
294,136,4,1480226.98,8.64,Pending
295,26,3,1948061.43,13.34,Pending
296,414,6,4469412.84,5.35,Approved
297,420,5,3146745.49,5.11,Defaulted
298,27,8,1721152.4,10.67,Pending
299,196,10,1100308.65,14.5,Approved
300,288,4,1447430.51,11,Pending
